2019-07-24 16:16:56,785 - INFO - ####################################
2019-07-24 16:16:56,785 - INFO - ############Loading Model###########
2019-07-24 16:16:56,785 - INFO - ####################################
2019-07-24 16:18:11,728 - INFO - Env 00, Goal (-01.1, -01.4), Episode 00005, setp 095, Reward 0.5  , Distance 009.2, Crashed
2019-07-24 16:18:12,545 - INFO - Env 02, Goal (004.3, 002.3), Episode 00006, setp 113, Reward 36.2 , Distance 009.0, Reach Goal
2019-07-24 16:18:13,038 - INFO - Env 22, Goal (-00.4, 004.2), Episode 00006, setp 119, Reward 35.7 , Distance 008.9, Reach Goal
2019-07-24 16:18:14,651 - INFO - Env 19, Goal (-01.6, 002.8), Episode 00006, setp 124, Reward 35.5 , Distance 008.7, Reach Goal
2019-07-24 16:18:14,651 - INFO - Env 10, Goal (000.8, 008.4), Episode 00005, setp 109, Reward 35.8 , Distance 009.0, Reach Goal
2019-07-24 16:18:14,930 - INFO - Env 01, Goal (-03.0, -03.8), Episode 00007, setp 143, Reward 37.3 , Distance 009.5, Reach Goal
2019-07-24 16:18:15,558 - INFO - Env 00, Goal (-05.6, -04.3), Episode 00006, setp 022, Reward -9.6 , Distance 009.5, Crashed
2019-07-24 16:18:15,839 - INFO - Env 22, Goal (-05.3, -07.2), Episode 00007, setp 014, Reward -15.4, Distance 008.5, Crashed
2019-07-24 16:18:15,840 - INFO - Env 00, Goal (-02.6, -07.6), Episode 00007, setp 002, Reward -15.0, Distance 009.6, Crashed
2019-07-24 16:18:16,237 - INFO - Env 03, Goal (008.0, 000.4), Episode 00006, setp 101, Reward 38.4 , Distance 010.0, Reach Goal
2019-07-24 16:18:16,238 - INFO - Env 04, Goal (-07.6, 002.2), Episode 00007, setp 111, Reward 36.9 , Distance 009.3, Reach Goal
2019-07-24 16:18:16,573 - INFO - Env 19, Goal (003.4, 007.4), Episode 00007, setp 009, Reward -13.6, Distance 008.6, Crashed
2019-07-24 16:18:16,573 - INFO - Env 04, Goal (006.7, 004.9), Episode 00008, setp 002, Reward -15.0, Distance 009.9, Crashed
2019-07-24 16:18:16,953 - INFO - Env 14, Goal (-00.7, 004.1), Episode 00006, setp 103, Reward 33.8 , Distance 008.0, Reach Goal
2019-07-24 16:18:17,241 - INFO - Env 13, Goal (-05.7, -02.1), Episode 00005, setp 091, Reward 3.9  , Distance 009.4, Crashed
2019-07-24 16:18:18,178 - INFO - Env 15, Goal (-01.4, 008.1), Episode 00006, setp 086, Reward 34.5 , Distance 008.4, Reach Goal
2019-07-24 16:18:18,178 - INFO - Env 09, Goal (003.8, -03.3), Episode 00006, setp 111, Reward 34.7 , Distance 008.4, Reach Goal
2019-07-24 16:18:18,574 - INFO - Env 16, Goal (-00.6, -05.5), Episode 00008, setp 129, Reward 38.0 , Distance 009.8, Reach Goal
2019-07-24 16:18:19,246 - INFO - Env 12, Goal (000.7, 003.5), Episode 00005, setp 152, Reward 22.7 , Distance 009.8, Time out
2019-07-24 16:18:19,579 - INFO - Env 12, Goal (000.1, -07.9), Episode 00006, setp 002, Reward -15.0, Distance 008.7, Crashed
2019-07-24 16:18:19,580 - INFO - Env 20, Goal (003.0, 003.9), Episode 00006, setp 057, Reward -5.6 , Distance 008.3, Crashed
2019-07-24 16:18:19,955 - INFO - Env 23, Goal (-01.4, -01.1), Episode 00006, setp 108, Reward 36.1 , Distance 009.0, Reach Goal
2019-07-24 16:18:20,728 - INFO - Env 08, Goal (-04.6, -03.7), Episode 00006, setp 110, Reward 33.7 , Distance 008.0, Reach Goal
2019-07-24 16:18:22,305 - INFO - Env 10, Goal (-02.6, -05.9), Episode 00006, setp 043, Reward -9.2 , Distance 009.6, Crashed
2019-07-24 16:18:22,575 - INFO - Env 15, Goal (-02.4, 003.2), Episode 00007, setp 027, Reward -13.7, Distance 008.9, Crashed
